EncoderFlag, DecoderFlag, FPS, BitSreamSHA1, BitSreamMD5, InputYUVSHA1, InputYUVMD5, -utype, -frms, -numl, -numtl, -sw, -sh, -dw 0, -dh 0, -dw 1, -dh 1, -dw 2, -dh 2, -dw 3, -dh 3, -frout 0, -frout 1, -frout 2, -frout 3, -lqp 0, -lqp 1, -lqp 2, -lqp 3, -rc, -tarb, -ltarb 0, -ltarb 1, -ltarb 2, -ltarb 3, -slcmd 0, -slcnum 0, -slcmd 1, -slcnum 1, -slcmd 2, -slcnum 2, -slcmd 3, -slcnum 3, -nalsize, -iper, -thread, -ltr, -db, -denois, -scene, -bgd , -aq,
  0-Encoder passed!, 0-Decoder passed!, 972.368528, d7e73e60ee726d55f913275de1bde4bac45afe85, cd8efc42b78d89eb8ae0da8ca46f9950, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, -1, 600.00,600.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 4, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:16:46 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  600.00  -ltarb 0  600.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -nalsize  0  -iper  0  -thread  4  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_-1_tarb_600.00_slcmd0_1_slcnum0_4_MaxNalSZ_0_iper_0_thread_4_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 962.772786, 078c2569e8693b194c2bc7b9e7a38ec99afa06e3, b874eaec62f3cf28c036b1717f4e397b, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, -1, 600.00,600.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:16:47 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  600.00  -ltarb 0  600.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_-1_tarb_600.00_slcmd0_1_slcnum0_7_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 960.691698, 078c2569e8693b194c2bc7b9e7a38ec99afa06e3, b874eaec62f3cf28c036b1717f4e397b, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, -1, 600.00,600.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 4, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:16:48 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  600.00  -ltarb 0  600.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -nalsize  0  -iper  0  -thread  4  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_-1_tarb_600.00_slcmd0_1_slcnum0_7_MaxNalSZ_0_iper_0_thread_4_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 976.562500, b26f824cfb06833f7425a4adfaa4e937106bc2ef, 53fe83423a1d5acb704e5ad365fd8048, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, -1, 150.00,150.00,0,0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:16:48 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  150.00  -ltarb 0  150.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  0  -slcnum 0  0  -slcmd 1  0  -slcnum 1  0  -slcmd 2  0  -slcnum 2  0  -slcmd 3  0  -slcnum 3  0  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_-1_tarb_150.00_slcmd0_0_slcnum0_0_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 973.314948, d7e73e60ee726d55f913275de1bde4bac45afe85, cd8efc42b78d89eb8ae0da8ca46f9950, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, -1, 150.00,150.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:16:49 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  150.00  -ltarb 0  150.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_-1_tarb_150.00_slcmd0_1_slcnum0_4_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 970.952342, d7e73e60ee726d55f913275de1bde4bac45afe85, cd8efc42b78d89eb8ae0da8ca46f9950, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, -1, 150.00,150.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 4, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:16:49 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  150.00  -ltarb 0  150.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -nalsize  0  -iper  0  -thread  4  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_-1_tarb_150.00_slcmd0_1_slcnum0_4_MaxNalSZ_0_iper_0_thread_4_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 966.105789, 078c2569e8693b194c2bc7b9e7a38ec99afa06e3, b874eaec62f3cf28c036b1717f4e397b, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, -1, 150.00,150.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:16:50 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  150.00  -ltarb 0  150.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_-1_tarb_150.00_slcmd0_1_slcnum0_7_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 961.307378, 078c2569e8693b194c2bc7b9e7a38ec99afa06e3, b874eaec62f3cf28c036b1717f4e397b, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, -1, 150.00,150.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 4, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:16:50 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  150.00  -ltarb 0  150.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -nalsize  0  -iper  0  -thread  4  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_-1_tarb_150.00_slcmd0_1_slcnum0_7_MaxNalSZ_0_iper_0_thread_4_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 893.854749, 16fa232d456fafb783ebd402b245a4baa3299618, aeef30ea89d14139e506fbca51329d75, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, 1, 600.00,600.00,0,0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:16:51 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  600.00  -ltarb 0  600.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  0  -slcnum 0  0  -slcmd 1  0  -slcnum 1  0  -slcmd 2  0  -slcnum 2  0  -slcmd 3  0  -slcnum 3  0  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_1_tarb_600.00_slcmd0_0_slcnum0_0_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 944.956296, 84e6cf3e03689d09e507bf68e1ea84223ffe7a81, 0a868e2a53a5e1f2b0a5112871f658f5, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, 1, 600.00,600.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:16:52 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  600.00  -ltarb 0  600.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_1_tarb_600.00_slcmd0_1_slcnum0_4_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 939.040614, 84e6cf3e03689d09e507bf68e1ea84223ffe7a81, 0a868e2a53a5e1f2b0a5112871f658f5, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, 1, 600.00,600.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 4, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:16:52 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  600.00  -ltarb 0  600.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -nalsize  0  -iper  0  -thread  4  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_1_tarb_600.00_slcmd0_1_slcnum0_4_MaxNalSZ_0_iper_0_thread_4_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/JiangWei/SGEJobID_170/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/CREW_176x144_30.yuv 
