EncoderFlag, DecoderFlag, FPS, BitSreamSHA1, BitSreamMD5, InputYUVSHA1, InputYUVMD5, -utype, -frms, -numl, -numtl, -sw, -sh, -dw 0, -dh 0, -dw 1, -dh 1, -dw 2, -dh 2, -dw 3, -dh 3, -frout 0, -frout 1, -frout 2, -frout 3, -lqp 0, -lqp 1, -lqp 2, -lqp 3, -rc, -tarb, -ltarb 0, -ltarb 1, -ltarb 2, -ltarb 3, -slcmd 0, -slcnum 0, -slcmd 1, -slcnum 1, -slcmd 2, -slcnum 2, -slcmd 3, -slcnum 3, -nalsize, -iper, -thread, -ltr, -db, -denois, -scene, -bgd , -aq,
  0-Encoder passed!, 0-Decoder passed!, 934.870676, 84e6cf3e03689d09e507bf68e1ea84223ffe7a81, 0a868e2a53a5e1f2b0a5112871f658f5, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, 1, 600.00,600.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:11:55 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  600.00  -ltarb 0  600.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_1_tarb_600.00_slcmd0_1_slcnum0_7_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 939.555277, 84e6cf3e03689d09e507bf68e1ea84223ffe7a81, 0a868e2a53a5e1f2b0a5112871f658f5, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, 1, 600.00,600.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 4, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:11:56 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  600.00  -ltarb 0  600.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -nalsize  0  -iper  0  -thread  4  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_1_tarb_600.00_slcmd0_1_slcnum0_7_MaxNalSZ_0_iper_0_thread_4_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 1044.237706, 9e04deb2c5c02f50e2e10ffbcdf1091f3642680d, d7de98f44f60edc8b9f1b743dbcec66d, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, 1, 150.00,150.00,0,0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:11:56 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  150.00  -ltarb 0  150.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  0  -slcnum 0  0  -slcmd 1  0  -slcnum 1  0  -slcmd 2  0  -slcnum 2  0  -slcmd 3  0  -slcnum 3  0  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_1_tarb_150.00_slcmd0_0_slcnum0_0_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 1128.413451, 04c1bcb8a57d8498e7b74e7d592fd6a426cfe19e, a97c1d4dc9eed035efa142ff3f45e620, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, 1, 150.00,150.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:11:57 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  150.00  -ltarb 0  150.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_1_tarb_150.00_slcmd0_1_slcnum0_4_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 1133.529812, 04c1bcb8a57d8498e7b74e7d592fd6a426cfe19e, a97c1d4dc9eed035efa142ff3f45e620, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, 1, 150.00,150.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 4, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:11:57 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  150.00  -ltarb 0  150.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -nalsize  0  -iper  0  -thread  4  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_1_tarb_150.00_slcmd0_1_slcnum0_4_MaxNalSZ_0_iper_0_thread_4_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 1138.433515, 04c1bcb8a57d8498e7b74e7d592fd6a426cfe19e, a97c1d4dc9eed035efa142ff3f45e620, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, 1, 150.00,150.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:11:58 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  150.00  -ltarb 0  150.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_1_tarb_150.00_slcmd0_1_slcnum0_7_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 1134.429949, 04c1bcb8a57d8498e7b74e7d592fd6a426cfe19e, a97c1d4dc9eed035efa142ff3f45e620, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, 1, 150.00,150.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 4, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:11:58 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  150.00  -ltarb 0  150.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -nalsize  0  -iper  0  -thread  4  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_1_tarb_150.00_slcmd0_1_slcnum0_7_MaxNalSZ_0_iper_0_thread_4_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 966.884216, 63122900a07cc45489a9659ae11189fe5974f4a9, 27b4603c49c20472c6e28dfa6569870f, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 4, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, -1, 600.00,600.00,0,0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:11:59 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  4  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  600.00  -ltarb 0  600.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  0  -slcnum 0  0  -slcmd 1  0  -slcnum 1  0  -slcmd 2  0  -slcnum 2  0  -slcmd 3  0  -slcnum 3  0  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_4_sw_176_sh_144_frout0_30_lqp0_26_rc_-1_tarb_600.00_slcmd0_0_slcnum0_0_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 949.216896, 3208486e57a6f10f183c85773b5b4a02024b4d5e, accf54e496b111fd872fbb95d505c52f, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 4, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, -1, 600.00,600.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:12:00 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  4  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  600.00  -ltarb 0  600.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_4_sw_176_sh_144_frout0_30_lqp0_26_rc_-1_tarb_600.00_slcmd0_1_slcnum0_4_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 955.794504, 3208486e57a6f10f183c85773b5b4a02024b4d5e, accf54e496b111fd872fbb95d505c52f, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 4, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, -1, 600.00,600.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 4, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:12:00 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  4  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  600.00  -ltarb 0  600.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -nalsize  0  -iper  0  -thread  4  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_4_sw_176_sh_144_frout0_30_lqp0_26_rc_-1_tarb_600.00_slcmd0_1_slcnum0_4_MaxNalSZ_0_iper_0_thread_4_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 921.517432, 65f912c7738e5b2984e6e5eac749288eacb59103, b7356e8e63e677294adc416baeb77d09, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 4, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, -1, 600.00,600.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:12:01 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  4  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  600.00  -ltarb 0  600.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_4_sw_176_sh_144_frout0_30_lqp0_26_rc_-1_tarb_600.00_slcmd0_1_slcnum0_7_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/MaChao/SGEJobID_171/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
