EncoderFlag, DecoderFlag, FPS, BitSreamSHA1, BitSreamMD5, InputYUVSHA1, InputYUVMD5, -utype, -frms, -numl, -numtl, -sw, -sh, -dw 0, -dh 0, -dw 1, -dh 1, -dw 2, -dh 2, -dw 3, -dh 3, -frout 0, -frout 1, -frout 2, -frout 3, -lqp 0, -lqp 1, -lqp 2, -lqp 3, -rc, -tarb, -ltarb 0, -ltarb 1, -ltarb 2, -ltarb 3, -slcmd 0, -slcnum 0, -slcmd 1, -slcnum 1, -slcmd 2, -slcnum 2, -slcmd 3, -slcnum 3, -nalsize, -iper, -thread, -ltr, -db, -denois, -scene, -bgd , -aq,
  0-Encoder passed!, 0-Decoder passed!, 1284.109149, 6ef5d54a6d6d955bf35c4ba9fe76e36d9a64a1fc, c31da57b31d2448351d394a74a1b7272, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, -1, 120.00,120.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 4, 1, 1, 1, 1, 0, 0, Mon Dec 15 22:29:05 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  4  				 -sw  160  -sh  96  -dw 0  160  -dh 0  96  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  6  -frout 1  6  -frout 2  6  -frout 3  6  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  120.00  -ltarb 0  120.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -nalsize  0  -iper  0  -thread  4  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv__usagetype_0_frms_12_numl_1_numtl_4_sw_160_sh_96_frout0_6_lqp0_26_rc_-1_tarb_120.00_slcmd0_1_slcnum0_7_MaxNalSZ_0_iper_0_thread_4_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec0.yuv -drec 1 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec1.yuv 				-drec 2 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec2.yuv -drec 3 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec3.yuv  -org /home/Video/YUV/90P/CiscoVT_2people_160x96_6.25fps.yuv 
  0-Encoder passed!, 0-Decoder passed!, 1274.832678, a2f1bcddfd515c343d6e52e3b316d537430586d5, 05308981cd0192ced9aab941645201f6, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, -1, 30.00,30.00,0,0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, Mon Dec 15 22:29:05 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  4  				 -sw  160  -sh  96  -dw 0  160  -dh 0  96  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  6  -frout 1  6  -frout 2  6  -frout 3  6  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  30.00  -ltarb 0  30.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  0  -slcnum 0  0  -slcmd 1  0  -slcnum 1  0  -slcmd 2  0  -slcnum 2  0  -slcmd 3  0  -slcnum 3  0  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv__usagetype_0_frms_12_numl_1_numtl_4_sw_160_sh_96_frout0_6_lqp0_26_rc_-1_tarb_30.00_slcmd0_0_slcnum0_0_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec0.yuv -drec 1 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec1.yuv 				-drec 2 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec2.yuv -drec 3 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec3.yuv  -org /home/Video/YUV/90P/CiscoVT_2people_160x96_6.25fps.yuv 
  0-Encoder passed!, 0-Decoder passed!, 1276.052744, a10e56f0a548661777ce9b8df1891cc8beb0c565, 90518b06f6e6fcae6eae4b803e775bd4, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, -1, 30.00,30.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 1, 1, 1, 1, 1, 0, 0, Mon Dec 15 22:29:06 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  4  				 -sw  160  -sh  96  -dw 0  160  -dh 0  96  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  6  -frout 1  6  -frout 2  6  -frout 3  6  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  30.00  -ltarb 0  30.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv__usagetype_0_frms_12_numl_1_numtl_4_sw_160_sh_96_frout0_6_lqp0_26_rc_-1_tarb_30.00_slcmd0_1_slcnum0_4_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec0.yuv -drec 1 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec1.yuv 				-drec 2 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec2.yuv -drec 3 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec3.yuv  -org /home/Video/YUV/90P/CiscoVT_2people_160x96_6.25fps.yuv 
  0-Encoder passed!, 0-Decoder passed!, 1277.819189, a10e56f0a548661777ce9b8df1891cc8beb0c565, 90518b06f6e6fcae6eae4b803e775bd4, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, -1, 30.00,30.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 4, 1, 1, 1, 1, 0, 0, Mon Dec 15 22:29:06 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  4  				 -sw  160  -sh  96  -dw 0  160  -dh 0  96  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  6  -frout 1  6  -frout 2  6  -frout 3  6  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  30.00  -ltarb 0  30.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -nalsize  0  -iper  0  -thread  4  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv__usagetype_0_frms_12_numl_1_numtl_4_sw_160_sh_96_frout0_6_lqp0_26_rc_-1_tarb_30.00_slcmd0_1_slcnum0_4_MaxNalSZ_0_iper_0_thread_4_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec0.yuv -drec 1 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec1.yuv 				-drec 2 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec2.yuv -drec 3 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec3.yuv  -org /home/Video/YUV/90P/CiscoVT_2people_160x96_6.25fps.yuv 
  0-Encoder passed!, 0-Decoder passed!, 1278.772379, 6ef5d54a6d6d955bf35c4ba9fe76e36d9a64a1fc, c31da57b31d2448351d394a74a1b7272, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, -1, 30.00,30.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 1, 1, 1, 1, 1, 0, 0, Mon Dec 15 22:29:07 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  4  				 -sw  160  -sh  96  -dw 0  160  -dh 0  96  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  6  -frout 1  6  -frout 2  6  -frout 3  6  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  30.00  -ltarb 0  30.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv__usagetype_0_frms_12_numl_1_numtl_4_sw_160_sh_96_frout0_6_lqp0_26_rc_-1_tarb_30.00_slcmd0_1_slcnum0_7_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec0.yuv -drec 1 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec1.yuv 				-drec 2 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec2.yuv -drec 3 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec3.yuv  -org /home/Video/YUV/90P/CiscoVT_2people_160x96_6.25fps.yuv 
  0-Encoder passed!, 0-Decoder passed!, 1281.093200, 6ef5d54a6d6d955bf35c4ba9fe76e36d9a64a1fc, c31da57b31d2448351d394a74a1b7272, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, -1, 30.00,30.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 4, 1, 1, 1, 1, 0, 0, Mon Dec 15 22:29:07 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  4  				 -sw  160  -sh  96  -dw 0  160  -dh 0  96  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  6  -frout 1  6  -frout 2  6  -frout 3  6  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  30.00  -ltarb 0  30.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -nalsize  0  -iper  0  -thread  4  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv__usagetype_0_frms_12_numl_1_numtl_4_sw_160_sh_96_frout0_6_lqp0_26_rc_-1_tarb_30.00_slcmd0_1_slcnum0_7_MaxNalSZ_0_iper_0_thread_4_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec0.yuv -drec 1 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec1.yuv 				-drec 2 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec2.yuv -drec 3 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec3.yuv  -org /home/Video/YUV/90P/CiscoVT_2people_160x96_6.25fps.yuv 
  0-Encoder passed!, 0-Decoder passed!, 1183.431953, 62f21fa65601801d755eec4b53ab2bfb0badfcc7, 3f0b6353ebb3c4ced9f98c8e6b4d798d, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, 1, 120.00,120.00,0,0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, Mon Dec 15 22:29:08 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  4  				 -sw  160  -sh  96  -dw 0  160  -dh 0  96  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  6  -frout 1  6  -frout 2  6  -frout 3  6  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  120.00  -ltarb 0  120.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  0  -slcnum 0  0  -slcmd 1  0  -slcnum 1  0  -slcmd 2  0  -slcnum 2  0  -slcmd 3  0  -slcnum 3  0  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv__usagetype_0_frms_12_numl_1_numtl_4_sw_160_sh_96_frout0_6_lqp0_26_rc_1_tarb_120.00_slcmd0_0_slcnum0_0_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec0.yuv -drec 1 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec1.yuv 				-drec 2 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec2.yuv -drec 3 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec3.yuv  -org /home/Video/YUV/90P/CiscoVT_2people_160x96_6.25fps.yuv 
  0-Encoder passed!, 0-Decoder passed!, 1148.105626, 20facbacbe0b887c99aada3c8351031edefa863d, ec61412d5edcbaf5c0929e54d9f03015, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, 1, 120.00,120.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 1, 1, 1, 1, 1, 0, 0, Mon Dec 15 22:29:08 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  4  				 -sw  160  -sh  96  -dw 0  160  -dh 0  96  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  6  -frout 1  6  -frout 2  6  -frout 3  6  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  120.00  -ltarb 0  120.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv__usagetype_0_frms_12_numl_1_numtl_4_sw_160_sh_96_frout0_6_lqp0_26_rc_1_tarb_120.00_slcmd0_1_slcnum0_4_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec0.yuv -drec 1 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec1.yuv 				-drec 2 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec2.yuv -drec 3 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec3.yuv  -org /home/Video/YUV/90P/CiscoVT_2people_160x96_6.25fps.yuv 
  0-Encoder passed!, 0-Decoder passed!, 1149.645526, 20facbacbe0b887c99aada3c8351031edefa863d, ec61412d5edcbaf5c0929e54d9f03015, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, 1, 120.00,120.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 4, 1, 1, 1, 1, 0, 0, Mon Dec 15 22:29:09 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  4  				 -sw  160  -sh  96  -dw 0  160  -dh 0  96  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  6  -frout 1  6  -frout 2  6  -frout 3  6  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  120.00  -ltarb 0  120.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -nalsize  0  -iper  0  -thread  4  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv__usagetype_0_frms_12_numl_1_numtl_4_sw_160_sh_96_frout0_6_lqp0_26_rc_1_tarb_120.00_slcmd0_1_slcnum0_4_MaxNalSZ_0_iper_0_thread_4_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec0.yuv -drec 1 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec1.yuv 				-drec 2 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec2.yuv -drec 3 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec3.yuv  -org /home/Video/YUV/90P/CiscoVT_2people_160x96_6.25fps.yuv 
  0-Encoder passed!, 0-Decoder passed!, 1141.335362, 20facbacbe0b887c99aada3c8351031edefa863d, ec61412d5edcbaf5c0929e54d9f03015, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, 1, 120.00,120.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 1, 1, 1, 1, 1, 0, 0, Mon Dec 15 22:29:09 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  4  				 -sw  160  -sh  96  -dw 0  160  -dh 0  96  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  6  -frout 1  6  -frout 2  6  -frout 3  6  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  120.00  -ltarb 0  120.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv__usagetype_0_frms_12_numl_1_numtl_4_sw_160_sh_96_frout0_6_lqp0_26_rc_1_tarb_120.00_slcmd0_1_slcnum0_7_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec0.yuv -drec 1 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec1.yuv 				-drec 2 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec2.yuv -drec 3 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec3.yuv  -org /home/Video/YUV/90P/CiscoVT_2people_160x96_6.25fps.yuv 
  0-Encoder passed!, 0-Decoder passed!, 1148.325359, 20facbacbe0b887c99aada3c8351031edefa863d, ec61412d5edcbaf5c0929e54d9f03015, 6787ee0516a3cd2560cac9e327454d45458ef931,d0ec0e70a13660fb2feb5bf23f3c64c6, 0, 12 , 1, 4, 160, 96, 160,96,0,0,0,0,0,0, 6, 6,6,6, 26, 26, 26, 26, 1, 120.00,120.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 4, 1, 1, 1, 1, 0, 0, Mon Dec 15 22:29:10 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  4  				 -sw  160  -sh  96  -dw 0  160  -dh 0  96  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  6  -frout 1  6  -frout 2  6  -frout 3  6  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  120.00  -ltarb 0  120.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -nalsize  0  -iper  0  -thread  4  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv__usagetype_0_frms_12_numl_1_numtl_4_sw_160_sh_96_frout0_6_lqp0_26_rc_1_tarb_120.00_slcmd0_1_slcnum0_7_MaxNalSZ_0_iper_0_thread_4_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec0.yuv -drec 1 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec1.yuv 				-drec 2 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec2.yuv -drec 3 /home/MaDai/SGEJobID_190/TempData/CiscoVT_2people_160x96_6.25fps.yuv_rec3.yuv  -org /home/Video/YUV/90P/CiscoVT_2people_160x96_6.25fps.yuv 
