EncoderFlag, DecoderFlag, FPS, BitSreamSHA1, BitSreamMD5, InputYUVSHA1, InputYUVMD5, -utype, -frms, -numl, -numtl, -sw, -sh, -dw 0, -dh 0, -dw 1, -dh 1, -dw 2, -dh 2, -dw 3, -dh 3, -frout 0, -frout 1, -frout 2, -frout 3, -lqp 0, -lqp 1, -lqp 2, -lqp 3, -rc, -tarb, -ltarb 0, -ltarb 1, -ltarb 2, -ltarb 3, -slcmd 0, -slcnum 0, -slcmd 1, -slcnum 1, -slcmd 2, -slcnum 2, -slcmd 3, -slcnum 3, -nalsize, -iper, -thread, -ltr, -db, -denois, -scene, -bgd , -aq,
  0-Encoder passed!, 0-Decoder passed!, 769.674812, ac73f4ed592004dc27e4586e2d7f8aef1ac97843, 2fd010d293fdc3397888bf71b1b2c134, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 2, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, 1, 600.00,600.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:33:55 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  2  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  600.00  -ltarb 0  600.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_2_sw_176_sh_144_frout0_30_lqp0_26_rc_1_tarb_600.00_slcmd0_1_slcnum0_4_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 772.797527, ac73f4ed592004dc27e4586e2d7f8aef1ac97843, 2fd010d293fdc3397888bf71b1b2c134, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 2, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, 1, 600.00,600.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 4, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:33:56 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  2  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  600.00  -ltarb 0  600.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -nalsize  0  -iper  0  -thread  4  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_2_sw_176_sh_144_frout0_30_lqp0_26_rc_1_tarb_600.00_slcmd0_1_slcnum0_4_MaxNalSZ_0_iper_0_thread_4_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 776.548243, ac73f4ed592004dc27e4586e2d7f8aef1ac97843, 2fd010d293fdc3397888bf71b1b2c134, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 2, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, 1, 600.00,600.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:33:57 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  2  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  600.00  -ltarb 0  600.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_2_sw_176_sh_144_frout0_30_lqp0_26_rc_1_tarb_600.00_slcmd0_1_slcnum0_7_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 774.693351, ac73f4ed592004dc27e4586e2d7f8aef1ac97843, 2fd010d293fdc3397888bf71b1b2c134, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 2, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, 1, 600.00,600.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 4, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:33:57 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  2  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  600.00  -ltarb 0  600.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -nalsize  0  -iper  0  -thread  4  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_2_sw_176_sh_144_frout0_30_lqp0_26_rc_1_tarb_600.00_slcmd0_1_slcnum0_7_MaxNalSZ_0_iper_0_thread_4_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 908.490254, 7c53fb21a3b87e89f097b9222a761e0bf1ff775c, a8f4e1fb5614010afb5f96e29d8b2153, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 2, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, 1, 150.00,150.00,0,0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:33:58 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  2  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  150.00  -ltarb 0  150.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  0  -slcnum 0  0  -slcmd 1  0  -slcnum 1  0  -slcmd 2  0  -slcnum 2  0  -slcmd 3  0  -slcnum 3  0  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_2_sw_176_sh_144_frout0_30_lqp0_26_rc_1_tarb_150.00_slcmd0_0_slcnum0_0_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 755.124056, c8ad760ed169d191bb3826e10e4769e960efe521, 9182743429cff7cc6207960dec7a7281, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 2, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, 1, 150.00,150.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:33:58 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  2  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  150.00  -ltarb 0  150.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_2_sw_176_sh_144_frout0_30_lqp0_26_rc_1_tarb_150.00_slcmd0_1_slcnum0_4_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 758.396533, c8ad760ed169d191bb3826e10e4769e960efe521, 9182743429cff7cc6207960dec7a7281, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 2, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, 1, 150.00,150.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 4, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:33:59 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  2  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  150.00  -ltarb 0  150.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -nalsize  0  -iper  0  -thread  4  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_2_sw_176_sh_144_frout0_30_lqp0_26_rc_1_tarb_150.00_slcmd0_1_slcnum0_4_MaxNalSZ_0_iper_0_thread_4_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 755.857899, c8ad760ed169d191bb3826e10e4769e960efe521, 9182743429cff7cc6207960dec7a7281, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 2, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, 1, 150.00,150.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:34:00 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  2  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  150.00  -ltarb 0  150.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_2_sw_176_sh_144_frout0_30_lqp0_26_rc_1_tarb_150.00_slcmd0_1_slcnum0_7_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 758.725341, c8ad760ed169d191bb3826e10e4769e960efe521, 9182743429cff7cc6207960dec7a7281, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 2, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, 1, 150.00,150.00,0,0,0, 1, 7, 1, 7, 1, 7, 1, 7, 0, 0, 4, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:34:00 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  2  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  1  -tarb  150.00  -ltarb 0  150.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  7  -slcmd 1  1  -slcnum 1  7  -slcmd 2  1  -slcnum 2  7  -slcmd 3  1  -slcnum 3  7  -nalsize  0  -iper  0  -thread  4  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_2_sw_176_sh_144_frout0_30_lqp0_26_rc_1_tarb_150.00_slcmd0_1_slcnum0_7_MaxNalSZ_0_iper_0_thread_4_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 833.449090, b26f824cfb06833f7425a4adfaa4e937106bc2ef, 53fe83423a1d5acb704e5ad365fd8048, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, -1, 600.00,600.00,0,0,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:34:01 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  600.00  -ltarb 0  600.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  0  -slcnum 0  0  -slcmd 1  0  -slcnum 1  0  -slcmd 2  0  -slcnum 2  0  -slcmd 3  0  -slcnum 3  0  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_-1_tarb_600.00_slcmd0_0_slcnum0_0_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
  0-Encoder passed!, 0-Decoder passed!, 824.119223, d7e73e60ee726d55f913275de1bde4bac45afe85, cd8efc42b78d89eb8ae0da8ca46f9950, c9064232f39c584cafd9f590f6ae1de4ed919f44,1e9575536f12b646db31c3b97a741684, 0, 12 , 1, 3, 176, 144, 176,144,0,0,0,0,0,0, 30, 30,30,30, 26, 26, 26, 26, -1, 600.00,600.00,0,0,0, 1,4, 1,1, 1,1, 1,1, 0, 0, 1, 1, 1, 1, 1, 0, 0, Tue Dec 16 13:34:01 EST 2014,./h264enc  welsenc.cfg    -utype 0 -frms  12 				 -numl  1 				-lconfig 0 layer0.cfg -lconfig 1 layer1.cfg -lconfig 2 layer2.cfg  -lconfig 3 layer3.cfg  				-numtl  3  				 -sw  176  -sh  144  -dw 0  176  -dh 0  144  -dw 1  0  -dh 1  0  -dw 2  0  -dh 2  0  -dw 3  0  -dh 3  0  -frout 0  30  -frout 1  30  -frout 2  30  -frout 3  30  -lqp 0  26  -lqp 1  26  -lqp 2  26  -lqp 3  26  -rc  -1  -tarb  600.00  -ltarb 0  600.00  -ltarb 1  0  -ltarb 2  0  -ltarb 3  0  -slcmd 0  1  -slcnum 0  4  -slcmd 1  1  -slcnum 1  1  -slcmd 2  1  -slcnum 2  1  -slcmd 3  1  -slcnum 3  1  -nalsize  0  -iper  0  -thread  1  -ltr  1  -db  1  -denois  1  -scene  1  -bgd  0  -aq  0  -bf   /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv__usagetype_0_frms_12_numl_1_numtl_3_sw_176_sh_144_frout0_30_lqp0_26_rc_-1_tarb_600.00_slcmd0_1_slcnum0_4_MaxNalSZ_0_iper_0_thread_1_ltr_1_db_1_denois_1_scene_1_bgd_0_aq_0_welsrubyenc.264 -trace 1				-drec 0 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec0.yuv -drec 1 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec1.yuv 				-drec 2 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec2.yuv -drec 3 /home/GuanYu/SGEJobID_181/TempData/CREW_176x144_30.yuv_rec3.yuv  -org /home/Video/YUV/SVC/CREW_176x144_30.yuv 
